"filename", "language", "C++", "Dart", "Groovy", "JSON", "Properties", "XML", "Markdown", "HTML", "YAML", "Swift", "comment", "blank", "total"
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 18, 7, 105
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 493, 2403, 105, 180, 8, 140, 15, 80, 3, 16, 257, 435, 4135
